epoch,i_loss,n_loss,psnr,ssim,val_i_loss,val_n_loss,val_psnr,val_ssim
0,0.224388793,0.675540507,12.30151844,0.189868599,0.381543756,0,6.732903004,0.0251398347
1,0.14370653,0.365983248,16.10496712,0.319829553,0.239590436,0,10.54719925,0.126302183
2,0.0929369107,0.212697014,19.93750763,0.501021206,0.187862277,0,13.00458717,0.364842623
3,0.0811363012,0.179139137,21.20942497,0.580197632,0.17182079,0,13.71705723,0.470523059
4,0.07332322,0.158160716,22.21891975,0.637605369,0.156176329,0,14.51323223,0.560216129
5,0.0677410513,0.141896233,23.03055573,0.67793411,0.145850539,0,15.10843658,0.633541584
6,0.0630336925,0.130326673,23.78908348,0.710252643,0.140208021,0,15.47593594,0.685353756
7,0.0600660853,0.11992041,24.31132889,0.730487764,0.13461113,0,15.80001545,0.722524464
8,0.0567593016,0.112838969,24.85086441,0.749229431,0.13058497,0,16.07259178,0.754048824
9,0.0547190085,0.106375434,25.22626495,0.761997461,0.125250116,0,16.47569656,0.780663192
10,0.0521995127,0.101112969,25.60092545,0.774126232,0.121468998,0,16.7188015,0.797305465
11,0.0498826914,0.0968033597,25.94788742,0.784766018,0.11978665,0,16.87551117,0.806939065
12,0.0484072492,0.092862159,26.18561363,0.792339027,0.117381759,0,17.05325127,0.818563104
13,0.0466691144,0.089643985,26.47625351,0.801029205,0.113679372,0,17.32315826,0.828608036
14,0.0452773944,0.0868537575,26.68816948,0.806662977,0.110893741,0,17.55444717,0.837885141
15,0.0437267981,0.0842594802,26.93479729,0.814170361,0.110267088,0,17.65796852,0.842884183
16,0.0427050591,0.0822811946,27.11771393,0.819110036,0.108309075,0,17.81509018,0.849216223
17,0.0409756191,0.0802098662,27.38482285,0.82641232,0.105699152,0,18.02118111,0.853414834
18,0.0404280201,0.0782048181,27.53096581,0.829955459,0.105243541,0,18.10428429,0.858589947
19,0.0396704823,0.0766229555,27.68976021,0.834214509,0.103051282,0,18.28349113,0.863506317
20,0.0384499058,0.0749452412,27.90359879,0.839454532,0.102603331,0,18.33901024,0.866114557
21,0.0377520658,0.0733933002,28.04419899,0.842443228,0.10204114,0,18.43294907,0.868102193
22,0.0371204168,0.0719265714,28.18251801,0.846005619,0.0976597145,0,18.78196335,0.8740834
23,0.0364903547,0.0708541125,28.32425308,0.84863323,0.0994248688,0,18.6180439,0.874273241
24,0.0354361869,0.0695729256,28.53697968,0.85385102,0.0981859192,0,18.74751663,0.876188934
25,0.035546992,0.0685281157,28.59794998,0.854462624,0.0994126946,0,18.75464058,0.875984251
26,0.034906771,0.0674678758,28.73385429,0.85746479,0.0961549804,0,18.95768166,0.88059485
27,0.0339317881,0.0664074644,28.90231514,0.86161226,0.0965885967,0,18.95088196,0.882690609
28,0.0337692611,0.065560028,28.98493195,0.863083363,0.0967101529,0,18.95467949,0.881641567
29,0.0329459496,0.0645341873,29.16054153,0.867183745,0.0960430279,0,19.03748322,0.883516848
30,0.0325950645,0.0639042556,29.27789116,0.869291544,0.0933518484,0,19.24654961,0.887494147
31,0.0325045139,0.0630324781,29.32723808,0.869824946,0.0946896449,0,19.16426086,0.886311173
32,0.0319788866,0.0624471493,29.46300507,0.872537494,0.0922800153,0,19.38495827,0.890145957
33,0.0316629335,0.0616501831,29.55054283,0.874277532,0.0927582905,0,19.3441143,0.889830649
34,0.0313267894,0.0608186536,29.62450981,0.875588298,0.0926003978,0,19.4204216,0.89016515
35,0.03085717,0.0601106435,29.74508858,0.878442526,0.0927263275,0,19.40876198,0.891968668
36,0.0303973854,0.0595711209,29.83884239,0.88006866,0.0913626999,0,19.54435158,0.894583166
37,0.0302152056,0.0589793921,29.91451454,0.881304801,0.0917849988,0,19.46374512,0.893795609
38,0.0297323857,0.0587100573,30.05297661,0.884074271,0.0909378454,0,19.57296944,0.896047831
39,0.0295813214,0.0579377711,30.10354614,0.884992123,0.0901766568,0,19.64762115,0.896167755
40,0.0292047542,0.0575818978,30.19972038,0.886578977,0.0895988718,0,19.7421627,0.897166193
41,0.0290565733,0.05717621,30.26252174,0.887536049,0.0899848267,0,19.63546371,0.896523416
42,0.028615823,0.056790065,30.36641312,0.889428616,0.0900745466,0,19.70424271,0.896762848
43,0.0284238439,0.0560983717,30.45169449,0.890991569,0.0892535448,0,19.73339081,0.897009373
44,0.0280155409,0.0558148623,30.55582047,0.892555177,0.0887371749,0,19.82296753,0.898525417
45,0.0278043691,0.055423215,30.61360359,0.893541873,0.088238053,0,19.91315269,0.899924397
46,0.0277428608,0.0549928397,30.66250038,0.894124031,0.0874720216,0,19.97978401,0.90004766
47,0.0272866655,0.0546130352,30.78432274,0.896696925,0.0870560929,0,20.03171921,0.901228607
48,0.0271779783,0.0537893772,30.81063843,0.896971345,0.0861195028,0,20.0419178,0.901234865
49,0.0267422218,0.0536587201,30.9210701,0.898963511,0.0871870369,0,20.01496315,0.901750505
50,0.0266314559,0.0533755124,30.993536,0.899862051,0.0865001082,0,20.11439514,0.901096582
51,0.0267328229,0.053005483,30.9873333,0.899291635,0.0857005939,0,20.1377697,0.902582169
52,0.0262231454,0.0526983403,31.11452293,0.901831865,0.0852609873,0,20.19406509,0.903401434
53,0.0260304939,0.0525301583,31.18921852,0.902727246,0.0850607604,0,20.1968956,0.905743361
54,0.026053777,0.0520071164,31.21161652,0.902785659,0.0854102969,0,20.15857697,0.904409647
55,0.0255745724,0.0518289134,31.32601738,0.905156374,0.0844361708,0,20.29229546,0.904819489
56,0.0255209282,0.0513800196,31.36244202,0.905236661,0.0855155215,0,20.16692352,0.90328902
57,0.0255366433,0.0508714318,31.37974167,0.905347645,0.0844436735,0,20.30802727,0.905058563
58,0.0250169765,0.0510320961,31.50524902,0.907642901,0.0844089314,0,20.29131508,0.905322731
59,0.0247430112,0.050588917,31.56979752,0.909136295,0.0857542753,0,20.20056343,0.904066086
60,0.0248561949,0.0500831679,31.57894707,0.908547163,0.0847192183,0,20.2573719,0.903735459
61,0.0247841459,0.0500515774,31.62732887,0.908990979,0.0836311504,0,20.40980148,0.905747473
62,0.0246936232,0.0496269502,31.66394806,0.909420073,0.0849535838,0,20.3126297,0.904779911
63,0.0243301708,0.0496931709,31.7634201,0.911075592,0.0834137946,0,20.45204926,0.905712724
64,0.0243919324,0.0492195897,31.76746178,0.910864532,0.0841519907,0,20.35914421,0.904350519
65,0.0239783823,0.0491919667,31.89485931,0.913072109,0.0865532979,0,20.18883133,0.90363723
66,0.0239701997,0.0489512607,31.91566277,0.913317442,0.0847129896,0,20.40108299,0.905275524
